modelId,downloads,likes,pipeline_tag,lastModified,tags,author,model_name,library_name,created_at,license,license_normalized,is_multilingual,is_quantized,languages,rank
sentence-transformers/all-MiniLM-L6-v2,151698585,4215,sentence-similarity,2025-03-06 13:37:44+00:00,"['sentence-transformers', 'pytorch', 'tf', 'rust', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'dataset:s2orc', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:code_search_net', 'dataset:search_qa', 'dataset:eli5', 'dataset:snli', 'dataset:multi_nli', 'dataset:wikihow', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/sentence-compression', 'dataset:embedding-data/flickr30k-captions', 'dataset:embedding-data/altlex', 'dataset:embedding-data/simple-wiki', 'dataset:embedding-data/QQP', 'dataset:embedding-data/SPECTER', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/WikiAnswers', 'arxiv:1904.06472', 'arxiv:2102.07033', 'arxiv:2104.08727', 'arxiv:1704.05179', 'arxiv:1810.09305', 'license:apache-2.0', 'text-embeddings-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",sentence-transformers,all-MiniLM-L6-v2,sentence-transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'pt', 'de', 'en', 'es', 'ar']",1
Falconsai/nsfw_image_detection,83475530,917,image-classification,2025-04-06 13:42:07+00:00,"['transformers', 'pytorch', 'safetensors', 'vit', 'image-classification', 'arxiv:2010.11929', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",Falconsai,nsfw_image_detection,transformers,2023-10-13 23:50:01+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en']",2
google/electra-base-discriminator,66225022,71,,2024-02-29 10:20:20+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'electra', 'pretraining', 'en', 'arxiv:1406.2661', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",google,electra-base-discriminator,transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'ar', 'en', 'ja']",3
google-bert/bert-base-uncased,59962448,2508,fill-mask,2024-02-19 11:06:12+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'coreml', 'onnx', 'safetensors', 'bert', 'fill-mask', 'exbert', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1810.04805', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",google-bert,bert-base-uncased,transformers,2022-03-02 23:29:04+00:00,apache-2.0,Apache 2.0,False,False,"['ru', 'ja', 'de', 'en', 'ar']",4
dima806/fairface_age_image_detection,43266209,54,image-classification,2024-12-15 19:54:53+00:00,"['transformers', 'safetensors', 'vit', 'image-classification', 'dataset:nateraw/fairface', 'base_model:google/vit-base-patch16-224-in21k', 'base_model:finetune:google/vit-base-patch16-224-in21k', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",dima806,fairface_age_image_detection,transformers,2024-12-06 14:59:20+00:00,apache-2.0,Apache 2.0,False,False,"['en', 'de']",5
sentence-transformers/all-mpnet-base-v2,24821704,1205,sentence-similarity,2025-08-19 10:14:25+00:00,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'mpnet', 'fill-mask', 'feature-extraction', 'sentence-similarity', 'transformers', 'text-embeddings-inference', 'en', 'dataset:s2orc', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:code_search_net', 'dataset:search_qa', 'dataset:eli5', 'dataset:snli', 'dataset:multi_nli', 'dataset:wikihow', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/sentence-compression', 'dataset:embedding-data/flickr30k-captions', 'dataset:embedding-data/altlex', 'dataset:embedding-data/simple-wiki', 'dataset:embedding-data/QQP', 'dataset:embedding-data/SPECTER', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/WikiAnswers', 'arxiv:1904.06472', 'arxiv:2102.07033', 'arxiv:2104.08727', 'arxiv:1704.05179', 'arxiv:1810.09305', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us', 'deploy:azure']",sentence-transformers,all-mpnet-base-v2,sentence-transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,False,False,"['pt', 'de', 'en', 'es', 'ar']",6
timm/mobilenetv3_small_100.lamb_in1k,23384943,42,image-classification,2025-10-19 16:12:11+00:00,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:2110.00476', 'arxiv:1905.02244', 'license:apache-2.0', 'region:us']",timm,mobilenetv3_small_100.lamb_in1k,timm,2022-12-16 05:38:36+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en']",7
openai/clip-vit-base-patch32,19079811,823,zero-shot-image-classification,2024-02-29 09:45:55+00:00,"['transformers', 'pytorch', 'tf', 'jax', 'clip', 'zero-shot-image-classification', 'vision', 'arxiv:2103.00020', 'arxiv:1908.04913', 'endpoints_compatible', 'region:us']",openai,clip-vit-base-patch32,transformers,2022-03-02 23:29:05+00:00,unknown,Unknown,False,False,"['ar', 'en', 'ja']",8
pyannote/segmentation-3.0,17612491,689,voice-activity-detection,2024-05-10 19:35:46+00:00,"['pyannote-audio', 'pytorch', 'pyannote', 'pyannote-audio-model', 'audio', 'voice', 'speech', 'speaker', 'speaker-diarization', 'speaker-change-detection', 'speaker-segmentation', 'voice-activity-detection', 'overlapped-speech-detection', 'resegmentation', 'license:mit', 'region:us']",pyannote,segmentation-3.0,pyannote-audio,2023-09-22 12:03:10+00:00,mit,MIT,False,False,"['es', 'ar', 'en', 'de']",9
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,16659000,1074,sentence-similarity,2025-03-06 13:25:33+00:00,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'multilingual', 'ar', 'bg', 'ca', 'cs', 'da', 'de', 'el', 'en', 'es', 'et', 'fa', 'fi', 'fr', 'gl', 'gu', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'it', 'ja', 'ka', 'ko', 'ku', 'lt', 'lv', 'mk', 'mn', 'mr', 'ms', 'my', 'nb', 'nl', 'pl', 'pt', 'ro', 'ru', 'sk', 'sl', 'sq', 'sr', 'sv', 'th', 'tr', 'uk', 'ur', 'vi', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",sentence-transformers,paraphrase-multilingual-MiniLM-L12-v2,sentence-transformers,2022-03-02 23:29:05+00:00,apache-2.0,Apache 2.0,True,False,"['ru', 'ja', 'pt', 'de', 'ko', 'en', 'es', 'ar', 'fr']",10
laion/clap-htsat-fused,16159466,44,feature-extraction,2025-03-28 20:05:21+00:00,"['transformers', 'pytorch', 'safetensors', 'clap', 'feature-extraction', 'arxiv:2211.06687', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",laion,clap-htsat-fused,transformers,2023-02-16 20:45:11+00:00,apache-2.0,Apache 2.0,False,False,"['ar', 'en']",11
pyannote/wespeaker-voxceleb-resnet34-LM,15900260,86,,2024-05-10 19:36:24+00:00,"['pyannote-audio', 'pytorch', 'pyannote', 'pyannote-audio-model', 'wespeaker', 'audio', 'voice', 'speech', 'speaker', 'speaker-recognition', 'speaker-verification', 'speaker-identification', 'speaker-embedding', 'dataset:voxceleb', 'license:cc-by-4.0', 'region:us']",pyannote,wespeaker-voxceleb-resnet34-LM,pyannote-audio,2023-11-13 15:32:31+00:00,cc-by-4.0,CC-BY,False,False,"['es', 'en', 'de']",12
