software_a,software_b,tipo_evento,caso_uso_resumido,titulo_pagina,slug_url,descricao_curta,json_n8n_url,passos_resumo,tags
Facebook Ads,Google Sheets,Lead,Automação de leads,Como integrar Facebook Ads com Google Sheets usando N8N,facebook-ads-para-google-sheets-n8n,Automação completa entre Facebook Ads e Google Sheets. Automação de leads sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"marketing,vendas"
Facebook Ads,WhatsApp,Formulário,Sincronização de dados,Como integrar Facebook Ads com WhatsApp usando N8N,facebook-ads-para-whatsapp-n8n,Automação completa entre Facebook Ads e WhatsApp. Sincronização de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"vendas,dados"
Facebook Ads,Slack,Venda,Alertas em tempo real,Como integrar Facebook Ads com Slack usando N8N,facebook-ads-para-slack-n8n,Automação completa entre Facebook Ads e Slack. Alertas em tempo real sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"dados,crm"
Facebook Ads,Typeform,Evento,Backup automático,Como integrar Facebook Ads com Typeform usando N8N,facebook-ads-para-typeform-n8n,Automação completa entre Facebook Ads e Typeform. Backup automático sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"crm,automação"
Facebook Ads,RD Station,Notificação,Integração CRM,Como integrar Facebook Ads com RD Station usando N8N,facebook-ads-para-rd-station-n8n,Automação completa entre Facebook Ads e RD Station. Integração CRM sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"automação,chat"
Facebook Ads,Shopify,Backup,Coleta de respostas,Como integrar Facebook Ads com Shopify usando N8N,facebook-ads-para-shopify-n8n,Automação completa entre Facebook Ads e Shopify. Coleta de respostas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"chat,email"
Facebook Ads,Stripe,Sincronização,Gestão de vendas,Como integrar Facebook Ads com Stripe usando N8N,facebook-ads-para-stripe-n8n,Automação completa entre Facebook Ads e Stripe. Gestão de vendas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"email,notificação"
Facebook Ads,Gmail,Lead,Notificações personalizadas,Como integrar Facebook Ads com Gmail usando N8N,facebook-ads-para-gmail-n8n,Automação completa entre Facebook Ads e Gmail. Notificações personalizadas sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"notificação,ia"
Facebook Ads,Telegram,Formulário,Processamento com IA,Como integrar Facebook Ads com Telegram usando N8N,facebook-ads-para-telegram-n8n,Automação completa entre Facebook Ads e Telegram. Processamento com IA sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"ia,financeiro"
Facebook Ads,Twitter,Venda,Consolidação de dados,Como integrar Facebook Ads com Twitter usando N8N,facebook-ads-para-twitter-n8n,Automação completa entre Facebook Ads e Twitter. Consolidação de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"financeiro,e-commerce"
Facebook Ads,Instagram,Evento,Automação de leads,Como integrar Facebook Ads com Instagram usando N8N,facebook-ads-para-instagram-n8n,Automação completa entre Facebook Ads e Instagram. Automação de leads sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"e-commerce,blog"
Facebook Ads,LinkedIn,Notificação,Sincronização de dados,Como integrar Facebook Ads com LinkedIn usando N8N,facebook-ads-para-linkedin-n8n,Automação completa entre Facebook Ads e LinkedIn. Sincronização de dados sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"blog,redes sociais"
Facebook Ads,TikTok,Backup,Alertas em tempo real,Como integrar Facebook Ads com TikTok usando N8N,facebook-ads-para-tiktok-n8n,Automação completa entre Facebook Ads e TikTok. Alertas em tempo real sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"redes sociais,backup"
Facebook Ads,Discord,Sincronização,Backup automático,Como integrar Facebook Ads com Discord usando N8N,facebook-ads-para-discord-n8n,Automação completa entre Facebook Ads e Discord. Backup automático sem limites.,https://n8n.io/workflows/1000,Conectar origem|Mapear dados|Validar|Enviar para destino|Registrar log,"backup,api"
